split,accuracy,precision,recall,f1_score,roc_auc,tn,fp,fn,tp,support
CHECK,0.9581749049429658,0.9866666666666667,0.8809523809523809,0.9308176100628931,0.9376828943868049,178,1,10,74,263
TEST,0.93,0.9285714285714286,0.8783783783783784,0.9027777777777778,0.9193479193479194,121,5,9,65,200
