preset_name,split,test_size,learning_rate,epoch,runs,accuracy_mean,accuracy_std,recall_malignant_mean,recall_malignant_std,f1_malignant_mean,f1_malignant_std,macro_f1_mean,macro_f1_std
RUN_1,split 80/20,0.2,0.001,25,5,0.8,0.16919526113192412,0.7276594000000001,0.36618011323432087,0.730646,0.3280348515798283,0.7784278,0.2153430622673969
RUN_1,split 80/20,0.2,0.001,50,5,0.49347840000000004,0.016484709651674194,0.0255318,0.038060560258619425,0.0465152,0.06824481076023291,0.35067820000000005,0.03650831806177875
RUN_1,split 80/20,0.2,0.001,75,5,0.8,0.16919526113192412,0.7276594000000001,0.36618011323432087,0.730646,0.3280348515798283,0.7784278,0.2153430622673969
RUN_1,split 80/20,0.2,0.001,100,5,0.49347840000000004,0.016484709651674194,0.0255318,0.038060560258619425,0.0465152,0.06824481076023291,0.35067820000000005,0.03650831806177875
RUN_1,split 80/20,0.2,0.01,25,5,0.7304346,0.21947373966103556,0.561702,0.487182724929261,0.558317,0.46075105994072324,0.6748506,0.29480553238245033
RUN_1,split 80/20,0.2,0.01,50,5,0.4956522,0.012393356050723326,0.025532,0.02774131538878429,0.047737,0.05079290786615785,0.3522624,0.02666393311760288
RUN_1,split 80/20,0.2,0.01,75,5,0.7304346,0.21947373966103556,0.561702,0.487182724929261,0.558317,0.46075105994072324,0.6748506,0.29480553238245033
RUN_1,split 80/20,0.2,0.01,100,5,0.6826088,0.16898599398382103,0.417021,0.3530247773683881,0.49414800000000003,0.3884374401386921,0.6263006,0.24085907366404113
RUN_1,split 80/20,0.2,0.05,25,5,0.8282608,0.11042095685466596,0.787234,0.2369259076061544,0.8063397999999999,0.16295647667306754,0.8230395999999999,0.1205498994806715
RUN_1,split 80/20,0.2,0.05,50,5,0.7782606000000001,0.08510263957598496,0.6297872,0.18028695363142613,0.7310608000000001,0.13863416398997758,0.76958,0.09715942477958582
RUN_1,split 80/20,0.2,0.05,75,5,0.8652174,0.05246728074047674,0.8595744,0.09586256855937039,0.8651631999999999,0.05595702235823492,0.8648859999999999,0.05249254076533161
RUN_1,split 80/20,0.2,0.05,100,5,0.8586956000000001,0.036860341599068217,0.7617018,0.07875217501885264,0.8445444,0.04716338887103006,0.8573434000000001,0.03815265046232039
RUN_2,split 70/30,0.3,0.001,25,5,0.49855099999999997,0.018756887694924174,0.0314288,0.046729840136683534,0.056101,0.07996476338050405,0.3571208,0.04235488025835983
