split,accuracy,precision,recall,f1_score,roc_auc,tn,fp,fn,tp,support
FULL_663 (in-sample),0.9592760180995475,0.9369369369369369,0.9411764705882353,0.9390519187358917,0.9927878217071723,428.0,14.0,13.0,208.0,663
CV_5FOLD_MEAN,0.9592959671907041,0.9393540245685269,0.9411111111111111,0.9390898578555307,0.9912358454308148,,,,,663
