epoch,mse,rmse,loss,lr
1,0.0006507397629320621,0.025509601387165227,0.025509601458907127,0.001
2,0.0006504497723653913,0.025503916804392835,0.025503916665911674,0.001
3,0.0682024359703064,0.2611559610085636,0.26115596294403076,0.001
4,0.07963964343070984,0.28220496705534764,0.2822049558162689,0.001
5,0.08460600674152374,0.29087111706307955,0.29087111353874207,0.001
6,0.08019430190324783,0.2831859846518677,0.2831859886646271,0.001
7,0.0760253369808197,0.27572692465702314,0.27572691440582275,0.001
8,0.06640198081731796,0.2576858180368449,0.2576858103275299,0.001
9,0.06865298748016357,0.2620171511183258,0.262017160654068,0.001
10,0.06975815445184708,0.2641176905317913,0.26411768794059753,0.001
11,0.07114367187023163,0.2667277111029741,0.2667277157306671,0.001
12,0.0663808286190033,0.2576447721553909,0.25764477252960205,0.001
13,0.056573446840047836,0.23785173289267378,0.23785173892974854,0.001
14,0.058154791593551636,0.24115304599683504,0.2411530464887619,0.001
15,0.04947517439723015,0.22243015622264475,0.22243015468120575,0.001
16,0.05597922205924988,0.23659928583841897,0.23659928143024445,0.001
17,0.04736516624689102,0.21763539750438352,0.2176353931427002,0.001
18,0.0580027773976326,0.24083765776479515,0.24083766341209412,0.001
19,0.06280434876680374,0.2506079583070014,0.250607967376709,0.001
20,0.06408458948135376,0.2531493422494986,0.2531493306159973,0.001
21,0.07159589976072311,0.2675741014386914,0.26757410168647766,0.001
22,0.07582920044660568,0.27537102325155,0.2753710150718689,0.001
23,0.0738753005862236,0.27180011145366295,0.27180010080337524,0.001
24,0.07558931410312653,0.27493510889503825,0.2749350965023041,0.001
25,0.07590031623840332,0.2755001202148618,0.2755001187324524,0.001
26,0.08228559792041779,0.286854663410616,0.28685465455055237,0.001
27,0.07934091240167618,0.28167518953872417,0.28167518973350525,0.001
28,0.07533089816570282,0.2744647484936869,0.27446475625038147,0.001
29,0.0752095878124237,0.2742436650360838,0.27424365282058716,0.001
30,0.07330561429262161,0.27075009564656044,0.27075010538101196,0.001
31,0.07778143882751465,0.2788932391211997,0.27889323234558105,0.001
32,0.07580652832984924,0.27532985368435664,0.2753298580646515,0.001
33,0.0727861076593399,0.26978900581628584,0.2697890102863312,0.001
34,0.07078550010919571,0.26605544555448535,0.2660554349422455,0.001
35,0.06677022576332092,0.2583993532563906,0.2583993673324585,0.001
36,0.059633608907461166,0.24419993633795478,0.2441999316215515,0.001
37,0.05919964611530304,0.24330977398226944,0.24330978095531464,0.001
38,0.06096409633755684,0.24690908516609275,0.24690908193588257,0.001
39,0.058078065514564514,0.24099391177904167,0.2409939169883728,0.001
40,0.06092165410518646,0.24682312311691232,0.24682311713695526,0.001
41,0.05972517654299736,0.24438734939230664,0.24438734352588654,0.001
42,0.05731847882270813,0.23941277915497353,0.23941278457641602,0.001
43,0.05982591211795807,0.24459336073973487,0.24459336698055267,0.001
44,0.05650331452488899,0.2377042585333485,0.23770426213741302,0.001
45,0.05614522099494934,0.23694982801206954,0.2369498312473297,0.001
46,0.05702313408255577,0.23879517181583837,0.2387951761484146,0.001
47,0.05704784765839577,0.23884691259967286,0.23884691298007965,0.001
48,0.05544418469071388,0.2354658885926237,0.2354658842086792,0.001
49,0.05535664036870003,0.2352799191786244,0.23527991771697998,0.001
50,0.054805804044008255,0.23410639470977349,0.2341063916683197,0.001
51,0.05190445855259895,0.22782550022462136,0.22782550752162933,0.001
52,0.05028684437274933,0.2242472839807638,0.2242472767829895,0.001
53,0.05252443253993988,0.22918209471932985,0.22918209433555603,0.001
54,0.05246274173259735,0.22904746611258844,0.22904746234416962,0.001
55,0.053555455058813095,0.2314205156394158,0.23142051696777344,0.001
56,0.05267234146595001,0.22950455652546425,0.2295045554637909,0.001
57,0.0530722439289093,0.23037413901935544,0.23037414252758026,0.001
58,0.051300954073667526,0.22649713921740275,0.22649714350700378,0.001
59,0.05202924832701683,0.2280992072038323,0.22809921205043793,0.001
60,0.05224047228693962,0.22856174720836298,0.22856174409389496,0.001
61,0.05260442569851875,0.22935654710192765,0.2293565422296524,0.001
62,0.053479548543691635,0.23125645622055968,0.23125645518302917,0.001
63,0.05423210188746452,0.23287786903753763,0.23287786543369293,0.001
64,0.05340453237295151,0.23109420670573183,0.23109421133995056,0.001
65,0.05142030864953995,0.22676046535835992,0.22676046192646027,0.001
66,0.051526643335819244,0.2269948090503817,0.2269948124885559,0.001
67,0.051335737109184265,0.22657391091911766,0.2265739142894745,0.001
68,0.05178861320018768,0.22757111679689865,0.22757111489772797,0.001
69,0.0543094202876091,0.23304381623979878,0.2330438196659088,0.001
70,0.05429309979081154,0.23300879766826732,0.23300880193710327,0.001
71,0.055064406245946884,0.23465806239280781,0.23465806245803833,0.001
72,0.05415217950940132,0.23270620857510727,0.2327062040567398,0.001
73,0.05439271777868271,0.23322246413817582,0.23322246968746185,0.001
74,0.05381894111633301,0.23198909697727824,0.23198910057544708,0.001
75,0.054476913064718246,0.23340289857822727,0.23340289294719696,0.001
76,0.05357563495635986,0.23146411159477803,0.23146411776542664,0.001
77,0.053491007536649704,0.231281230402836,0.23128123581409454,0.001
78,0.056081291288137436,0.23681488823158361,0.23681488633155823,0.001
79,0.05661606788635254,0.2379413118530545,0.23794130980968475,0.001
80,0.05856962129473686,0.2420116139666377,0.24201160669326782,0.001
81,0.0593024380505085,0.24352091912299548,0.24352091550827026,0.001
82,0.058442115783691406,0.2417480419438623,0.24174803495407104,0.001
83,0.05922085419297218,0.24335335254105744,0.24335335195064545,0.001
84,0.058103617280721664,0.24104691925167113,0.24104692041873932,0.001
85,0.057620156556367874,0.24004198915266445,0.24004198610782623,0.001
86,0.05770532041788101,0.24021931732872986,0.24021930992603302,0.001
87,0.053098078817129135,0.23043020378658943,0.23043020069599152,0.001
88,0.053199686110019684,0.23065057144958406,0.23065057396888733,0.001
89,0.0515359491109848,0.2270153058958466,0.22701530158519745,0.001
90,0.0499475859105587,0.22348956555185903,0.22348956763744354,0.001
91,0.04947285354137421,0.222424939117389,0.2224249392747879,0.001
92,0.046434011310338974,0.21548552459582748,0.21548552811145782,0.001
93,0.04542296379804611,0.21312663793633613,0.21312664449214935,0.001
94,0.04438294842839241,0.21067260958271822,0.21067261695861816,0.001
95,0.04498044028878212,0.21208592666365705,0.21208593249320984,0.001
96,0.0466182604432106,0.21591262224152297,0.2159126251935959,0.001
97,0.046149853616952896,0.21482516988694061,0.21482516825199127,0.001
98,0.04891175404191017,0.22116001908552588,0.22116002440452576,0.001
99,0.048473820090293884,0.2201677090090504,0.22016771137714386,0.001
100,0.04756699502468109,0.21809859014831134,0.21809859573841095,0.001
101,0.04893820732831955,0.22121981676224114,0.22121982276439667,0.001
102,0.05085501819849014,0.22551057225436272,0.22551056742668152,0.001
103,0.054540377110242844,0.23353881285611358,0.23353880643844604,0.001
104,0.05497412383556366,0.23446561333288013,0.2344656139612198,0.001
105,0.055863041430711746,0.23635363638140147,0.23635363578796387,0.001
106,0.0550222210586071,0.23456815866312097,0.23456816375255585,0.001
107,0.05195750296115875,0.2279418850522184,0.22794188559055328,0.001
108,0.05152128264307976,0.22698300077996977,0.2269829958677292,0.001
109,0.05360576510429382,0.23152918844995293,0.23152919113636017,0.001
110,0.05277164280414581,0.22972079314712854,0.22972078621387482,0.001
111,0.055445488542318344,0.23546865723980834,0.23546865582466125,0.001
112,0.05483727157115936,0.23417359281344974,0.23417359590530396,0.001
113,0.05240103229880333,0.2289127176432173,0.22891271114349365,0.001
114,0.05360626056790352,0.23153025842836075,0.23153026401996613,0.001
115,0.052332278341054916,0.22876249330048604,0.22876249253749847,0.001
116,0.052643947303295135,0.22944268849387014,0.22944268584251404,0.001
117,0.05363692715764046,0.23159647483854423,0.2315964698791504,0.001
118,0.051760826259851456,0.22751005749164466,0.22751006484031677,0.001
119,0.053978290408849716,0.2323322844738753,0.2323322892189026,0.001
120,0.05415947735309601,0.2327218884271439,0.23272189497947693,0.001
121,0.05169475078582764,0.22736479671626308,0.22736479341983795,0.001
122,0.050837885588407516,0.2254725827864832,0.2254725843667984,0.001
123,0.04941849410533905,0.22230270827261428,0.22230270504951477,0.001
124,0.046468839049339294,0.21556632169552667,0.21556632220745087,0.001
125,0.046451762318611145,0.2155267090608752,0.21552671492099762,0.001
126,0.046466466039419174,0.21556081749571088,0.21556082367897034,0.001
127,0.04834817722439766,0.21988218942060236,0.21988219022750854,0.001
128,0.04817148670554161,0.21948003714584524,0.21948003768920898,0.001
129,0.05004528909921646,0.22370804433282335,0.22370804846286774,0.001
130,0.049736544489860535,0.2230169152550105,0.2230169177055359,0.001
131,0.0489111952483654,0.22115875575786142,0.22115875780582428,0.001
132,0.049134112894535065,0.22166215936540695,0.22166216373443604,0.001
133,0.050570640712976456,0.22487916913973258,0.2248791754245758,0.001
134,0.05417549982666969,0.23275630996101845,0.23275631666183472,0.001
135,0.054169755429029465,0.23274396969423175,0.23274396359920502,0.001
136,0.050713177770376205,0.22519586534920263,0.22519586980342865,0.001
137,0.049465250223875046,0.2224078465879184,0.22240784764289856,0.001
138,0.04906419664621353,0.22150439419165827,0.22150439023971558,0.001
139,0.05022447556257248,0.2241081782590106,0.22410817444324493,0.001
140,0.050789691507816315,0.22536568396234666,0.22536568343639374,0.001
141,0.05161416903138161,0.22718751953261343,0.22718751430511475,0.001
142,0.05238357186317444,0.2288745767077996,0.2288745790719986,0.001
