Input,Linguistic term,mu (center),sigma
Clump Thickness,Low,-1.221,1.0647
Clump Thickness,Medium,0.3754,1.0644
Clump Thickness,High,1.9719,1.064
Uniformity of Cell Size,Low,-0.7023,0.9794
Uniformity of Cell Size,Medium,0.7622,0.9865
Uniformity of Cell Size,High,2.2365,0.9785
Uniformity of Cell Shape,Low,-0.7418,1.0045
Uniformity of Cell Shape,Medium,0.765,1.0049
Uniformity of Cell Shape,High,2.2722,1.004
