epoch,loss
1,0.7194822511779797
2,0.588892561414202
3,0.4789543190466925
4,0.38930614711677125
5,0.3183667447402577
6,0.2632021406148391
7,0.2210056408835213
8,0.18923554452521774
9,0.16562626763342433
10,0.14858724210058383
11,0.1365651533751309
12,0.12819172397901
13,0.12239517463883587
14,0.11842145800878918
15,0.1156711553453355
16,0.11367468415956006
17,0.11217858278123287
18,0.11102465383539149
19,0.11012020177530632
20,0.10939647005398323
21,0.10878049937531938
22,0.10821149631380077
23,0.10769138199502477
24,0.10722939944726609
25,0.10682362950683848
26,0.10647211446512311
27,0.10613863277924883
28,0.10583464493750278
29,0.10555439871251211
30,0.10527975605783021
31,0.10501611008863028
32,0.10476386645273036
33,0.10452493626805917
34,0.10430879684654666
35,0.10411757732965969
36,0.10393549026745609
37,0.10376052957458126
38,0.10359439302731922
39,0.10341981124913545
40,0.10324814776130267
41,0.10308451180759211
42,0.10291859434898613
43,0.10276296385064966
44,0.10260962818989251
45,0.10245291732941174
46,0.10230204088696986
47,0.10215476239870545
48,0.10200154848835223
49,0.10187441046112111
50,0.10175231289369302
51,0.1016266631277592
52,0.10152361653175074
53,0.10140494949728444
54,0.10130193234440879
55,0.10120364272737165
56,0.10110765237771269
57,0.10101666101537504
58,0.10093275532295128
59,0.10085059030350764
60,0.10076336337519155
61,0.10069254915737677
62,0.10060792162273213
63,0.10054840932369916
64,0.10047754417952955
65,0.10040123177257611
66,0.10033583122931608
67,0.10025560666631933
68,0.10018438009187815
69,0.10010205547943726
70,0.10002324717843232
71,0.09995256904658671
72,0.09987311408697558
73,0.09980560013241219
74,0.09973512339906321
75,0.09966162780309196
76,0.09958671655168663
77,0.09952363492539697
78,0.09945399664954427
79,0.09939030515338569
80,0.09931728487139516
81,0.09925551826351608
82,0.09919431144082387
83,0.09913784131939757
84,0.09906920009593496
85,0.0990047969090074
86,0.09894801137751057
87,0.09888965027146693
88,0.0988344603583201
89,0.09877428075043704
90,0.09871554734034818
91,0.09867088070065624
92,0.0986194795785578
93,0.09855928655436605
94,0.09851217011677282
95,0.09846874465492172
96,0.09841757016698537
97,0.09837536614242263
98,0.0983401816848579
99,0.09830335342495154
100,0.09826502522257807
101,0.09822400364901582
102,0.0981906322793085
103,0.0981548474857489
104,0.0981223075546861
105,0.0980898188996231
106,0.0980429929088346
107,0.09801140180395003
108,0.097978892182512
109,0.09794934222209847
110,0.09791047211092274
111,0.09787995335702285
112,0.09784542989470175
113,0.09780490786346374
114,0.09777623184603214
115,0.09774617180063747
116,0.09771367278018528
117,0.09768827758134734
118,0.09765366731090362
119,0.09762104056395618
120,0.09759266846120056
121,0.09755459859910737
122,0.09753175339585056
123,0.09750134931215831
124,0.09747273206949877
125,0.09745166911334319
126,0.0974205503934088
127,0.09739188101128429
128,0.09736328239202358
129,0.09733726348687334
130,0.09730922400308437
131,0.0972778799850518
132,0.09724613645790334
133,0.09721894717692203
134,0.09719019447958116
135,0.09716000101872511
136,0.09713613916852187
137,0.09710546567459648
138,0.09707897616085677
139,0.09706013692482747
140,0.09703002088814537
141,0.09700121175815889
142,0.09697669119851625
143,0.09694063709891684
144,0.09690120777407131
145,0.09687940774715184
146,0.09684424956999667
147,0.09681091619330816
148,0.09677937159627029
149,0.09674824735844291
150,0.09671652139498622
151,0.09668100837234309
152,0.09665097801878048
153,0.09661904666926509
154,0.09659168334992344
155,0.09655379938942238
156,0.09652911768436678
157,0.09648810655089293
158,0.09645674256540836
159,0.09642963641338877
160,0.09639556788046057
161,0.09636596940263498
162,0.09633657087867885
163,0.09629425685096617
164,0.09626348791033405
165,0.0962276471206914
166,0.09619383324993949
167,0.09616086922167003
168,0.09612315901558786
169,0.09609007486577359
170,0.09604676301651206
171,0.09601327324031093
172,0.09597699640279264
173,0.09593611838915762
174,0.09590292247149067
175,0.09586700793710365
176,0.09582990644282317
177,0.09579678382670712
178,0.09576170712693856
179,0.09572197977384395
180,0.09568670667838168
181,0.09565746159399711
182,0.09562460446700821
183,0.09558641952498817
184,0.0955569126841946
185,0.0955219079301804
186,0.09548752168166713
187,0.09545160274764408
188,0.09542297298962203
189,0.09538367776972956
190,0.09534874456460642
191,0.09531709525907342
192,0.0952906727635702
193,0.09525457022846079
194,0.09521093055036296
195,0.09518557376631212
196,0.09515078670418871
197,0.09512281123697598
198,0.09509259506311211
199,0.09505770448756322
200,0.09504056058585067
201,0.09499829744292128
202,0.09497374617638174
203,0.09494497396881718
204,0.09491596035812461
205,0.09488981338598816
206,0.09486033213783365
207,0.09483399743296304
208,0.09480666317044414
209,0.09478565569827475
210,0.09476117099666077
211,0.0947358594564285
212,0.09471549974901033
213,0.09469145268307515
214,0.09466662181691331
215,0.09464575159752893
216,0.09461513145148057
217,0.09459515890962304
218,0.09457821558946379
219,0.09455554058015361
220,0.09451740446101821
221,0.09450997841533547
222,0.09448932076211512
223,0.09446652396619029
224,0.09443877903803993
225,0.09440716340961026
226,0.09439952318358798
227,0.09438007682374436
228,0.09435074971125171
229,0.09434571932822819
230,0.09433210041784455
231,0.0943039237509092
232,0.09429029427191139
233,0.09426775619020779
234,0.09423935869245623
235,0.0942427168201848
236,0.09422257285628341
237,0.0942118385882428
238,0.09419426980367089
239,0.09416292620121017
240,0.09416180908515204
241,0.09414813236924152
242,0.0941205991283249
243,0.09411355072224052
244,0.09410341316783814
245,0.09406691359354268
246,0.09406768329732719
247,0.09405789623218909
248,0.09402989696906117
249,0.09402818844121552
250,0.09401702721501266
251,0.09398331643826506
252,0.09398646794440892
253,0.09396948123296811
254,0.0939574000051929
255,0.0939346995030253
256,0.09393371688388798
257,0.09392096133337462
258,0.093898798234422
259,0.09389262071120717
260,0.09388345891920286
261,0.09386146482224579
262,0.09386033772299507
263,0.09382816061596519
264,0.09382909358346134
265,0.09381980269336829
266,0.09379608766356592
267,0.09378810196714585
268,0.0937872413151031
269,0.09376202999229453
270,0.09375686279840836
271,0.0937506813776051
272,0.09372837149745585
273,0.0937147621184033
274,0.09371208768695942
275,0.09367829309616714
276,0.09367952661022212
277,0.09365854087432636
278,0.09366717279058868
279,0.09365493621479466
280,0.09363897274253223
281,0.09363862332187077
282,0.09363033001445668
283,0.09359456248309793
284,0.0935972934211043
285,0.09359692781049386
286,0.09357730649023902
287,0.09357886517505462
288,0.09355829574887803
289,0.09356179147937271
290,0.09355230468446048
291,0.09352299978194738
292,0.09352505203453294
293,0.09352391752119849
294,0.09350621275476655
295,0.09350733434238352
296,0.09349840246892628
297,0.0934876615416262
298,0.09348352634438234
299,0.09345029576623508
300,0.09346704438388619
301,0.09346054212976306
302,0.0934401878362018
303,0.09344509042061631
304,0.09343983560794683
305,0.09341489889686355
306,0.09342666872663165
307,0.09341047651296978
308,0.09338604988378059
309,0.09340409087290769
310,0.09339609385016441
311,0.09337330114609954
312,0.0933855392791254
313,0.09337477343119296
314,0.09335977590452499
315,0.09336218141363135
316,0.09332991511148474
317,0.09334191299430172
318,0.09334127862865103
319,0.09332150383034694
320,0.09332556593387142
321,0.09332700969200947
322,0.09330648451804222
323,0.0933032483049046
324,0.09330751928354393
325,0.09327329327320615
326,0.09328372890957708
327,0.09328810283578737
328,0.09327435974619826
329,0.09327253334728144
330,0.09327204110910417
331,0.09325043052175165
332,0.09325840073182898
333,0.0932417151883322
334,0.09323404137017888
335,0.09322776632223309
