split,accuracy,precision,recall,f1_score,roc_auc,tn,fp,fn,tp,support
CHECK,0.9429657794676806,0.9,0.9310344827586207,0.9152542372881356,0.9399490595611285,167,9,6,81,263
TEST,0.935,0.8970588235294118,0.9104477611940298,0.9037037037037037,0.9289080911233307,126,7,6,61,200
