epoch,mse,rmse,loss,lr
1,0.3060027062892914,0.5531751135845605,0.5531750917434692,0.01
2,0.22758056223392487,0.4770540454014879,0.47705405950546265,0.01
3,0.4540519714355469,0.6738337862081025,0.6738337874412537,0.01
4,8.372177124023438,2.893471465907939,2.8934714794158936,0.01
5,0.116617850959301,0.34149355917689134,0.34149354696273804,0.01
6,0.18395806849002838,0.428903332337286,0.42890334129333496,0.01
7,0.13179117441177368,0.36303054198204,0.3630305528640747,0.01
8,0.1294795423746109,0.35983265884937526,0.35983264446258545,0.01
9,0.13279181718826294,0.3644061157393807,0.36440610885620117,0.01
10,0.352710485458374,0.5938943386313545,0.593894362449646,0.01
11,0.17681507766246796,0.42049384973203585,0.42049384117126465,0.01
12,0.2859269380569458,0.5347213648779575,0.5347213745117188,0.01
13,0.5470938682556152,0.7396579400341858,0.7396579384803772,0.01
14,0.3184968829154968,0.5643552807545056,0.5643552541732788,0.01
15,0.30860236287117004,0.5555199032178505,0.5555198788642883,0.01
16,0.555305540561676,0.7451882584700835,0.7451882362365723,0.01
17,0.23111745715141296,0.4807467702974332,0.4807467758655548,0.01
18,0.24272827804088593,0.49267461680188673,0.4926746189594269,0.01
19,0.131789430975914,0.36302814074932815,0.3630281388759613,0.01
20,0.24116529524326324,0.4910858328675989,0.49108582735061646,0.01
21,0.3599197268486023,0.5999331019777141,0.5999330878257751,0.01
22,0.35994988679885864,0.59995823754563,0.5999582409858704,0.01
23,0.35977306962013245,0.5998108615389792,0.5998108386993408,0.01
24,0.3599992096424103,0.5999993413683138,0.5999993681907654,0.01
25,0.35999926924705505,0.5999993910389035,0.5999993681907654,0.01
26,0.35999929904937744,0.5999994158741969,0.5999994277954102,0.01
27,0.35999929904937744,0.5999994158741969,0.5999994277954102,0.01
28,0.3599989414215088,0.5999991178506089,0.5999991297721863,0.01
29,0.3599979877471924,0.5999983231203171,0.5999982953071594,0.01
30,0.35999801754951477,0.5999983479556547,0.5999983549118042,0.01
31,0.3599972426891327,0.5999977022365441,0.5999976992607117,0.01
32,0.35999736189842224,0.599997801577991,0.5999978184700012,0.01
33,0.35999834537506104,0.5999986211442998,0.5999985933303833,0.01
34,0.3599972426891327,0.5999977022365441,0.5999976992607117,0.01
35,0.35999709367752075,0.5999975780597124,0.5999975800514221,0.01
36,0.3599979281425476,0.5999982734496389,0.5999982953071594,0.01
37,0.35999801754951477,0.5999983479556547,0.5999983549118042,0.01
38,0.3599969744682312,0.5999974787182286,0.5999974608421326,0.01
39,0.35999298095703125,0.5999941507690147,0.5999941229820251,0.01
40,0.35999172925949097,0.5999931076766557,0.599993109703064,0.01
41,0.3599872887134552,0.5999894071677059,0.5999894142150879,0.01
42,0.35998907685279846,0.5999908973082829,0.5999909043312073,0.01
43,0.35997265577316284,0.5999772127115853,0.5999771952629089,0.01
44,0.3599811792373657,0.5999843158261436,0.5999842882156372,0.01
45,0.35998520255088806,0.5999876686656885,0.5999876856803894,0.01
46,0.35998696088790894,0.5999891339748653,0.599989116191864,0.01
47,0.3599851131439209,0.5999875941583467,0.5999875664710999,0.01
48,0.3599866032600403,0.5999888359461701,0.5999888181686401,0.01
49,0.35998785495758057,0.5999898790459557,0.5999898910522461,0.01
50,0.3599892556667328,0.5999910463221371,0.5999910235404968,0.01
51,0.359990656375885,0.5999922135960475,0.5999922156333923,0.01
52,0.3599885106086731,0.5999904254308339,0.5999904274940491,0.01
53,0.3599783182144165,0.5999819315732904,0.5999819040298462,0.01
54,0.35998156666755676,0.5999846386929891,0.5999846458435059,0.01
55,0.35998785495758057,0.5999898790459557,0.5999898910522461,0.01
56,0.3599903881549835,0.5999919900756872,0.5999919772148132,0.01
57,0.35998600721359253,0.5999883392313492,0.5999883413314819,0.01
58,0.35997483134269714,0.5999790257523151,0.599979043006897,0.01
59,0.3599725365638733,0.5999771133667294,0.5999771356582642,0.01
60,0.35995760560035706,0.5999646702934741,0.5999646782875061,0.01
61,0.3599596917629242,0.599966408862133,0.5999664068222046,0.01
62,0.35997113585472107,0.599975946063441,0.5999759435653687,0.01
63,0.3599742650985718,0.5999785538655292,0.5999785661697388,0.01
64,0.35997676849365234,0.5999806400990388,0.5999806523323059,0.01
65,0.35997286438941956,0.5999773865650434,0.5999773740768433,0.01
66,0.3599632680416107,0.5999693892538275,0.5999693870544434,0.01
67,0.35996514558792114,0.5999709539535403,0.5999709367752075,0.01
68,0.3599611222743988,0.5999676010205874,0.5999675989151001,0.01
69,0.35996314883232117,0.5999692899076762,0.5999692678451538,0.01
70,0.3599563539028168,0.5999636271498604,0.5999636054039001,0.01
71,0.35994744300842285,0.5999562009083853,0.599956214427948,0.01
72,0.35995855927467346,0.5999654650683433,0.5999654531478882,0.01
73,0.35995596647262573,0.5999633042717077,0.5999633073806763,0.01
74,0.3599511682987213,0.5999593055355682,0.5999593138694763,0.01
75,0.3599470257759094,0.5999558531891405,0.5999558568000793,0.01
76,0.35994186997413635,0.5999515563561247,0.5999515652656555,0.01
77,0.3599380850791931,0.5999484020140341,0.5999484062194824,0.01
78,0.35993191599845886,0.5999432606492541,0.5999432802200317,0.01
79,0.3599202036857605,0.5999334993861907,0.5999335050582886,0.01
80,0.359904944896698,0.5999207821843631,0.5999208092689514,0.01
81,0.3598848581314087,0.5999040407693623,0.5999040603637695,0.01
82,0.3598775565624237,0.5998979551243893,0.5998979806900024,0.01
83,0.35986924171447754,0.5998910248657481,0.5998910069465637,0.01
84,0.3598591089248657,0.5998825792810337,0.5998826026916504,0.01
85,0.35983550548553467,0.5998629055755446,0.5998629331588745,0.01
86,0.35981643199920654,0.5998470071603313,0.5998470187187195,0.01
87,0.35977473855018616,0.5998122527509638,0.5998122692108154,0.01
88,0.35975050926208496,0.5997920550174743,0.5997920632362366,0.01
89,0.3596697747707367,0.5997247491730991,0.5997247695922852,0.01
90,0.35963401198387146,0.5996949324313751,0.5996949076652527,0.01
91,0.35957127809524536,0.5996426253154835,0.5996426343917847,0.01
92,0.3595319092273712,0.5996097974744669,0.5996097922325134,0.01
93,0.3594750165939331,0.5995623542167513,0.5995623469352722,0.01
94,0.3589125871658325,0.599093137304904,0.5990931391716003,0.01
95,0.35906821489334106,0.5992230093156813,0.5992230176925659,0.01
96,0.359060138463974,0.5992162701929696,0.5992162823677063,0.01
97,0.3589908480644226,0.5991584498815172,0.5991584658622742,0.01
98,0.359110027551651,0.5992578973627724,0.5992578864097595,0.01
