split,accuracy,precision,recall,f1_score,roc_auc,tn,fp,fn,tp,support
CHECK,0.9239543726235742,0.9259259259259259,0.8426966292134831,0.8823529411764706,0.9041069352963967,168,6,14,75,263
TEST,0.96,0.9538461538461539,0.9253731343283582,0.9393939393939394,0.9514083716754573,130,3,5,62,200
