split,accuracy,precision,recall,f1_score,roc_auc,tn,fp,fn,tp,support
CHECK,0.8060836501901141,0.9714285714285714,0.40476190476190477,0.5714285714285714,0.6995876562915668,178,1,50,34,263
TEST,0.785,1.0,0.4189189189189189,0.5904761904761905,0.7094594594594594,126,0,43,31,200
