experiment_id,preset_name,split,test_size,random_state,learning_rate,epoch,accuracy,precision_malignant,recall_malignant,f1_malignant,macro_f1,weighted_f1,train_samples,test_samples,train_features
0,RUN_1,split 80/20,0.2,21,0.01,25,0.902174,0.865385,0.957447,0.909091,0.901604,0.901767,365,92,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
1,RUN_1,split 80/20,0.2,21,0.01,50,0.902174,0.865385,0.957447,0.909091,0.901604,0.901767,365,92,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
2,RUN_1,split 80/20,0.2,21,0.01,75,0.5,0.6,0.06383,0.115385,0.38345,0.377622,365,92,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
3,RUN_1,split 80/20,0.2,21,0.01,100,0.902174,0.865385,0.957447,0.909091,0.901604,0.901767,365,92,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
4,RUN_1,split 80/20,0.2,21,0.05,25,0.652174,0.857143,0.382979,0.529412,0.626775,0.624658,365,92,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
5,RUN_1,split 80/20,0.2,21,0.05,50,0.902174,0.865385,0.957447,0.909091,0.901604,0.901767,365,92,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
6,RUN_1,split 80/20,0.2,21,0.05,75,0.76087,0.804878,0.702128,0.75,0.760417,0.76019,365,92,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
7,RUN_1,split 80/20,0.2,21,0.05,100,0.902174,0.865385,0.957447,0.909091,0.901604,0.901767,365,92,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
8,RUN_1,split 80/20,0.2,21,0.001,25,0.5,0.6,0.06383,0.115385,0.38345,0.377622,365,92,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
9,RUN_1,split 80/20,0.2,21,0.001,50,0.902174,0.865385,0.957447,0.909091,0.901604,0.901767,365,92,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
10,RUN_1,split 80/20,0.2,21,0.001,75,0.521739,0.714286,0.106383,0.185185,0.423362,0.418184,365,92,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
11,RUN_1,split 80/20,0.2,21,0.001,100,0.902174,0.865385,0.957447,0.909091,0.901604,0.901767,365,92,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
12,RUN_2,split 70/30,0.3,21,0.01,25,0.492754,0.5,0.028571,0.054054,0.35376,0.349416,319,138,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
13,RUN_2,split 70/30,0.3,21,0.01,50,0.492754,0.5,0.028571,0.054054,0.35376,0.349416,319,138,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
14,RUN_2,split 70/30,0.3,21,0.01,75,0.492754,0.5,0.028571,0.054054,0.35376,0.349416,319,138,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
15,RUN_2,split 70/30,0.3,21,0.01,100,0.492754,0.5,0.028571,0.054054,0.35376,0.349416,319,138,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
16,RUN_2,split 70/30,0.3,21,0.05,25,0.550725,0.785714,0.157143,0.261905,0.469494,0.466486,319,138,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
17,RUN_2,split 70/30,0.3,21,0.05,50,0.84058,0.887097,0.785714,0.833333,0.840278,0.840177,319,138,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
18,RUN_2,split 70/30,0.3,21,0.05,75,0.905797,0.901408,0.914286,0.907801,0.905753,0.905782,319,138,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
19,RUN_2,split 70/30,0.3,21,0.05,100,0.927536,0.916667,0.942857,0.929577,0.927475,0.927506,319,138,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
20,RUN_2,split 70/30,0.3,21,0.001,25,0.528986,0.727273,0.114286,0.197531,0.432099,0.428699,319,138,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
21,RUN_2,split 70/30,0.3,21,0.001,50,0.492754,0.5,0.028571,0.054054,0.35376,0.349416,319,138,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
22,RUN_2,split 70/30,0.3,21,0.001,75,0.492754,0.5,0.028571,0.054054,0.35376,0.349416,319,138,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
23,RUN_2,split 70/30,0.3,21,0.001,100,0.492754,0.5,0.028571,0.054054,0.35376,0.349416,319,138,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
24,RUN_3,split 60/40,0.4,21,0.01,25,0.508197,0.636364,0.075269,0.134615,0.395552,0.391274,274,183,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
25,RUN_3,split 60/40,0.4,21,0.01,50,0.508197,0.636364,0.075269,0.134615,0.395552,0.391274,274,183,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
26,RUN_3,split 60/40,0.4,21,0.01,75,0.513661,0.625,0.107527,0.183486,0.418591,0.414737,274,183,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
27,RUN_3,split 60/40,0.4,21,0.01,100,0.218579,0.25,0.268817,0.259067,0.216239,0.216941,274,183,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
28,RUN_3,split 60/40,0.4,21,0.05,25,0.557377,0.833333,0.16129,0.27027,0.476312,0.472934,274,183,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
