epoch,rmse,loss
1,0.3120823453387591,0.31208235025405884
2,0.3100939632877507,0.3100939691066742
3,0.3081226132515166,0.3081226050853729
4,0.3062748276125023,0.3062748312950134
5,0.30441445562943537,0.30441445112228394
6,0.30266948127479426,0.302669495344162
7,0.30096689910525504,0.30096688866615295
8,0.1516279312846574,0.15162792801856995
9,0.29943065112121603,0.29943063855171204
10,0.2978620433526763,0.29786205291748047
11,0.2963174176462814,0.2963174283504486
12,0.29486397939158304,0.2948639690876007
13,0.2934302827193297,0.29343026876449585
14,0.2920977296469353,0.29209771752357483
15,0.290746346643444,0.2907463610172272
16,0.28952171604374843,0.289521723985672
17,0.42865302665796146,0.4286530315876007
18,0.3283464048094402,0.3283464014530182
19,0.32657278856925903,0.3265727758407593
20,0.3251103012270504,0.3251102864742279
21,0.32390818601288235,0.3239081799983978
22,0.3229141530072401,0.32291415333747864
23,0.32216202197638316,0.32216203212738037
24,0.3215567913975972,0.32155677676200867
25,0.3211000228417613,0.32110002636909485
26,0.47472604644051764,0.4747260510921478
27,0.321766345193587,0.32176634669303894
28,0.32154409379987625,0.3215440809726715
29,0.3214248671677751,0.3214248716831207
30,0.34208559103850705,0.342085599899292
31,0.32207713539202093,0.3220771253108978
32,0.32215297926588354,0.3221529722213745
33,0.3221937735249251,0.32219377160072327
34,0.2973075902243555,0.2973075807094574
35,0.3804193938590346,0.38041940331459045
36,0.42454298003905805,0.42454299330711365
37,0.31350256315884,0.31350255012512207
38,0.3233331627185771,0.32333317399024963
39,0.3233836691283819,0.3233836591243744
40,0.301962230786886,0.3019622266292572
41,0.32375657794779883,0.3237565755844116
42,0.3235174775870847,0.32351747155189514
43,0.2923237503322249,0.2923237383365631
44,0.32370038705478,0.3237003982067108
45,0.4224026347442569,0.42240262031555176
46,0.3239625700012254,0.32396256923675537
47,0.32384113934436515,0.3238411247730255
48,0.3236990635801187,0.32369905710220337
49,0.3235651344897971,0.32356512546539307
50,0.27039008212427695,0.2703900933265686
51,0.3229955210338279,0.32299551367759705
52,0.32275061670609345,0.32275062799453735
53,0.3226069174823655,0.3226069211959839
54,0.40342496756450513,0.4034249782562256
55,0.3220831730243009,0.32208317518234253
56,0.257470337353654,0.25747033953666687
57,0.3213356703139702,0.32133567333221436
58,0.32105879953073824,0.32105880975723267
59,0.32062982332494405,0.3206298351287842
60,0.3201652979468208,0.3201653063297272
61,0.2504027817463456,0.2504027783870697
62,0.31915462374480635,0.31915462017059326
63,0.3911759306109058,0.39117592573165894
64,0.3180722539151607,0.31807225942611694
65,0.31774966825697515,0.31774967908859253
66,0.31731722814340724,0.3173172175884247
67,0.24471186375297302,0.24471186101436615
68,0.31604651027874714,0.31604650616645813
69,0.31531400891898537,0.31531399488449097
70,0.31488700219374294,0.31488701701164246
71,0.3141910811676035,0.314191073179245
72,0.24253385142870362,0.2425338476896286
73,0.3131147298822782,0.313114732503891
74,0.3122369970808969,0.3122369945049286
75,0.4140664226418151,0.4140664339065552
76,0.31141244471580926,0.3114124536514282
77,0.3108269250446096,0.3108269274234772
78,0.3100209010484535,0.31002089381217957
79,0.3093957980707777,0.30939579010009766
80,0.3087892637306441,0.3087892532348633
81,0.3081001365913589,0.3081001341342926
82,0.30737168945788435,0.30737167596817017
83,0.30656750530080373,0.306567519903183
84,0.39252701232070714,0.3925270140171051
85,0.3057691253379101,0.3057691156864166
86,0.3050922126789897,0.3050922155380249
87,0.30434627254438323,0.3043462634086609
88,0.3035641281668605,0.3035641312599182
89,0.30289409484922364,0.30289408564567566
90,0.3019939473971412,0.3019939363002777
91,0.3013775104922865,0.3013775050640106
92,0.3004798493738033,0.30047985911369324
93,0.3756766175588434,0.37567663192749023
94,0.2667243171875159,0.2667243182659149
95,0.2661452807864272,0.2661452889442444
96,0.26567284770182426,0.26567286252975464
97,0.2656269073417849,0.2656269073486328
98,0.26516332896757644,0.2651633322238922
99,0.2644813967627404,0.26448139548301697
100,0.26407954877633555,0.2640795409679413
