preset_name,split,test_size,learning_rate,epoch,runs,accuracy_mean,accuracy_std,recall_malignant_mean,recall_malignant_std,f1_malignant_mean,f1_malignant_std,macro_f1_mean,macro_f1_std
RUN_1,split 80/20,0.2,0.001,25,5,0.5782608,0.20557557379392138,0.20851060000000002,0.4314480351291451,0.2127678,0.4142849275428687,0.4608932,0.2720785834647777
RUN_1,split 80/20,0.2,0.001,50,5,0.7217392,0.20972890549397327,0.5489362,0.48527442320989883,0.542954,0.46039799620545696,0.663242,0.2890133619341846
RUN_1,split 80/20,0.2,0.001,75,5,0.5826086,0.20372819539597362,0.21702120000000003,0.42828875982530756,0.2267278,0.41134869571836497,0.46887559999999995,0.26981455229434903
RUN_1,split 80/20,0.2,0.001,100,5,0.7217392,0.20972890549397327,0.5489362,0.48527442320989883,0.542954,0.46039799620545696,0.663242,0.2890133619341846
RUN_1,split 80/20,0.2,0.01,25,5,0.6630434000000001,0.23875961812207694,0.39148940000000004,0.5264827698285102,0.37984239999999997,0.5015840734854925,0.5701613999999999,0.32314417147505536
RUN_1,split 80/20,0.2,0.01,50,5,0.7217392,0.20972890549397327,0.5489362,0.48527442320989883,0.542954,0.46039799620545696,0.663242,0.2890133619341846
RUN_1,split 80/20,0.2,0.01,75,5,0.6978260000000001,0.19826164783437064,0.4468084,0.4114695819137789,0.5052072,0.4205144931886415,0.639606,0.269664404460433
RUN_1,split 80/20,0.2,0.01,100,5,0.7847826,0.17499653399224796,0.6723404000000001,0.39422038821742844,0.6856017999999999,0.3862540935377902,0.7528048,0.2427065649126533
RUN_1,split 80/20,0.2,0.05,25,5,0.6108696,0.20121902138043513,0.280851,0.4218992658129426,0.3118998,0.418359467548184,0.5176928000000001,0.27059404351759114
RUN_1,split 80/20,0.2,0.05,50,5,0.8065216,0.12283088505461483,0.7617022,0.24921769787216153,0.7811788,0.18271488419721033,0.8009131999999999,0.13408193292796758
RUN_1,split 80/20,0.2,0.05,75,5,0.8695652,0.07002197197808702,0.8212764,0.1070191400325195,0.8634178,0.07524248028673694,0.8691582,0.07018012900885838
RUN_1,split 80/20,0.2,0.05,100,5,0.8565218,0.041674435823415776,0.8468083999999999,0.09322953391388372,0.8560392,0.04660990594498122,0.8561318,0.04144063308758683
RUN_2,split 70/30,0.3,0.001,25,5,0.5014495999999999,0.020107969173936938,0.0400002,0.046729840136683534,0.0718006,0.08081118434536151,0.3652958,0.04354947366731313
RUN_2,split 70/30,0.3,0.001,50,5,0.4956524,0.015875875260910804,0.0228572,0.021665330154419526,0.0433934,0.040915506764550774,0.3504322,0.02418696128495682
RUN_2,split 70/30,0.3,0.001,75,5,0.4956524,0.015875875260910804,0.0228572,0.021665330154419526,0.0433934,0.040915506764550774,0.3504322,0.02418696128495682
RUN_2,split 70/30,0.3,0.001,100,5,0.4985508,0.016524080056087822,0.0314286,0.02555509853825651,0.058890399999999996,0.047643300728434,0.3584946,0.02732235461668706
RUN_2,split 70/30,0.3,0.01,25,5,0.5927536,0.19959769706662447,0.2314286,0.40600098119930694,0.2639768,0.38476782554769307,0.4901478,0.25721697145736705
RUN_2,split 70/30,0.3,0.01,50,5,0.6217392,0.2004507161191997,0.2942856,0.41263230209812707,0.3342294,0.41634075072445165,0.5324264000000001,0.26962322284866336
RUN_2,split 70/30,0.3,0.01,75,5,0.6492756,0.2053806576708235,0.46857119999999997,0.4052462974941289,0.4898878,0.38598458652153456,0.5984802,0.25462315314244305
RUN_2,split 70/30,0.3,0.01,100,5,0.5507248,0.1556707576688698,0.28571420000000003,0.27571815134245337,0.335347,0.31987597891370334,0.48720100000000005,0.1974364709457197
RUN_2,split 70/30,0.3,0.05,25,5,0.763768,0.16232521516388015,0.5914286,0.3390564121385997,0.670484,0.27667258934795114,0.7405046000000001,0.19255280432987723
RUN_2,split 70/30,0.3,0.05,50,5,0.7260869999999999,0.08108195546174254,0.5142856,0.16872877039586345,0.6442705999999999,0.12996794014409863,0.70984,0.09179183216386957
RUN_2,split 70/30,0.3,0.05,75,5,0.8159418,0.06809289943305391,0.6771429999999999,0.17101153440046088,0.778467,0.10748375386308384,0.8094172000000001,0.07630531212307569
RUN_2,split 70/30,0.3,0.05,100,5,0.8594202,0.060105461384137075,0.7800002,0.14018930641350644,0.8436102,0.07943619581274015,0.8573866000000001,0.06266625272265769
RUN_3,split 60/40,0.4,0.001,25,5,0.5945354,0.17938976190490918,0.24301079999999997,0.39883653256528545,0.2746762,0.37667765224552413,0.494121,0.24142174279877937
RUN_3,split 60/40,0.4,0.001,50,5,0.6644808,0.22215675078128955,0.395699,0.4790320581563409,0.4148784,0.4536806025782896,0.5858614,0.2943763420968132
RUN_3,split 60/40,0.4,0.001,75,5,0.4950818,0.004887653291713723,0.0172042,0.0163072044262651,0.0328634,0.031124820413939738,0.3455698,0.015433890993524605
RUN_3,split 60/40,0.4,0.001,100,5,0.8961748,0.03186289363350416,0.9139784000000001,0.042333523835135604,0.8992456000000001,0.03195323315879002,0.8960507999999999,0.031834899940160026
RUN_3,split 60/40,0.4,0.01,25,5,0.4961748,0.0071250663996906115,0.027957,0.031897743893573416,0.051170400000000005,0.05729231888569357,0.3539432,0.027929422357077127
RUN_3,split 60/40,0.4,0.01,50,5,0.7125682,0.20741992669630363,0.4989248,0.44869765290304336,0.529857,0.4355307004546292,0.6560273999999999,0.27942453020771096
RUN_3,split 60/40,0.4,0.01,75,5,0.6426228,0.1870176908134629,0.3569894,0.40933733625250945,0.4036784,0.39592354268002306,0.5700974,0.25210761924880415
RUN_3,split 60/40,0.4,0.01,100,5,0.7202184,0.2901685583127503,0.6752688,0.2784718175160639,0.7137536,0.2721846625267485,0.7176364,0.2908231298217183
RUN_3,split 60/40,0.4,0.05,25,5,0.6590162,0.20239246401410307,0.3612904,0.43509232187927654,0.4009094,0.44106933662611364,0.577353,0.2799384226414802
RUN_3,split 60/40,0.4,0.05,50,5,0.808743,0.13205518529766253,0.683871,0.2842453318174284,0.7538422,0.22100952033950932,0.7959814,0.15440630887628914
RUN_3,split 60/40,0.4,0.05,75,5,0.8338796,0.09165019116892227,0.7483872,0.17905726151764972,0.81192,0.12102821779444663,0.8307418,0.09595025847125165
RUN_3,split 60/40,0.4,0.05,100,5,0.8612019999999999,0.05854901247245763,0.7870967999999999,0.14887716945589746,0.8459593999999999,0.07981519921543762,0.8590388000000001,0.06155674273140191
