epoch,mse,rmse,loss,train_accuracy,lr,is_best
1,0.01706857420504093,0.1306467535189487,0.130646750330925,0.9850000143051147,0.1,1
2,0.017064280807971954,0.13063032116615175,0.13063031435012817,0.9850000143051147,0.1,1
3,0.017059987410902977,0.1306138867460232,0.13061389327049255,0.9850000143051147,0.1,1
4,0.01705569215118885,0.13059744312653618,0.13059744238853455,0.9850000143051147,0.1,1
5,0.017051389440894127,0.13058096890777815,0.13058096170425415,0.9850000143051147,0.1,1
6,0.017047088593244553,0.13056449974340098,0.13056449592113495,0.9850000143051147,0.1,1
7,0.01704278402030468,0.13054801423347917,0.13054801523685455,0.9850000143051147,0.1,1
8,0.017038477584719658,0.13053151950666803,0.13053151965141296,0.9850000143051147,0.1,1
9,0.017034171149134636,0.13051502269522322,0.13051502406597137,0.9850000143051147,0.1,1
10,0.017029855400323868,0.1304984881150884,0.1304984837770462,0.9850000143051147,0.1,1
11,0.01702554151415825,0.13048195857726175,0.13048195838928223,0.9850000143051147,0.1,1
12,0.01702122576534748,0.13046541980673454,0.13046541810035706,0.9850000143051147,0.1,1
13,0.017016902565956116,0.13044885038188767,0.1304488480091095,0.9850000143051147,0.1,1
14,0.017012573778629303,0.1304322574313168,0.13043226301670074,0.9850000143051147,0.1,1
15,0.017008250579237938,0.1304156837931617,0.130415678024292,0.9850000143051147,0.1,1
16,0.017003921791911125,0.13039908662222724,0.13039909303188324,0.9850000143051147,0.1,1
17,0.016999583691358566,0.1303824516235163,0.1303824484348297,0.9850000143051147,0.1,1
18,0.016995245590806007,0.13036581450213858,0.13036581873893738,0.9850000143051147,0.1,1
19,0.01699090749025345,0.13034917525728135,0.13034917414188385,0.9850000143051147,0.1,1
20,0.016986560076475143,0.13033249815941972,0.13033249974250793,0.9850000143051147,0.1,1
21,0.01698221266269684,0.13031581892731534,0.13031582534313202,0.9850000143051147,0.1,1
22,0.016977855935692787,0.1302991018222796,0.13029910624027252,0.9850000143051147,0.1,1
23,0.016973501071333885,0.1302823897206905,0.13028238713741302,0.9850000143051147,0.1,1
24,0.016969144344329834,0.13026566832565606,0.13026566803455353,0.9850000143051147,0.1,1
25,0.016964780166745186,0.1302489161826124,0.13024891912937164,0.9850000143051147,0.1,1
26,0.01696040667593479,0.1302321261284434,0.13023212552070618,0.9850000143051147,0.1,1
27,0.016956038773059845,0.13021535536587014,0.1302153617143631,0.9850000143051147,0.1,1
28,0.016951657831668854,0.13019853237140908,0.13019853830337524,0.9850000143051147,0.1,1
29,0.01694728061556816,0.1301817215110023,0.1301817148923874,0.9850000143051147,0.1,1
30,0.016942894086241722,0.13016487270474214,0.13016487658023834,0.9850000143051147,0.1,1
31,0.016938503831624985,0.13014800740551113,0.1301480084657669,0.9850000143051147,0.1,1
32,0.0169341042637825,0.1301311041364919,0.13013111054897308,0.9850000143051147,0.1,1
33,0.016929708421230316,0.13011421298701506,0.13011421263217926,0.9850000143051147,0.1,1
34,0.016925303265452385,0.13009728385117186,0.13009728491306305,0.9850000143051147,0.1,1
35,0.01692088693380356,0.13008030955453465,0.13008031249046326,0.9850000143051147,0.1,1
36,0.01691647432744503,0.13006334736367903,0.13006334006786346,0.9850000143051147,0.1,1
37,0.016912050545215607,0.1300463399916184,0.13004633784294128,0.9850000143051147,0.1,1
38,0.01690763421356678,0.13002935904466645,0.1300293654203415,0.9850000143051147,0.1,1
39,0.01690320111811161,0.13001231140977232,0.13001231849193573,0.9850000143051147,0.1,1
40,0.016898762434720993,0.12999524004639937,0.12999524176120758,0.9850000143051147,0.1,1
41,0.016894320026040077,0.1299781521104223,0.12997815012931824,0.9850000143051147,0.1,1
42,0.016889875754714012,0.1299610547614708,0.1299610584974289,0.9850000143051147,0.1,1
43,0.01688542030751705,0.12994391216027418,0.12994390726089478,0.9850000143051147,0.1,1
44,0.016880957409739494,0.12992673862504012,0.12992674112319946,0.9850000143051147,0.1,1
45,0.016876496374607086,0.1299095699885389,0.12990957498550415,0.9850000143051147,0.1,1
46,0.016872026026248932,0.12989236323298198,0.12989236414432526,0.9850000143051147,0.1,1
47,0.01686754636466503,0.12987511834321858,0.12987512350082397,0.9850000143051147,0.1,1
48,0.016863062977790833,0.12985785681964274,0.1298578530550003,0.9800000190734863,0.1,1
49,0.016858577728271484,0.1298405858284361,0.12984058260917664,0.9800000190734863,0.1,1
50,0.01685407944023609,0.1298232623231911,0.12982326745986938,0.9800000190734863,0.1,1
51,0.0168495774269104,0.1298059221565426,0.12980592250823975,0.9800000190734863,0.1,1
52,0.01684506982564926,0.1297885581461219,0.1297885626554489,0.9800000190734863,0.1,1
53,0.016840549185872078,0.1297711415757451,0.1297711431980133,0.9800000190734863,0.1,1
54,0.016836032271385193,0.12975373702281254,0.1297537386417389,0.9800000190734863,0.1,1
55,0.016831502318382263,0.12973627988493527,0.1297362744808197,0.9800000190734863,0.1,1
56,0.016826966777443886,0.12971879885908552,0.12971879541873932,0.9800000190734863,0.1,1
57,0.01682242564857006,0.12970129393560445,0.12970128655433655,0.9800000190734863,0.1,1
58,0.01681787334382534,0.12968374356034507,0.1296837478876114,0.9800000190734863,0.1,1
59,0.01681331917643547,0.12966618362717194,0.12966617941856384,0.9800000190734863,0.1,1
60,0.016808753833174706,0.1296485782150144,0.1296485811471939,0.9800000190734863,0.1,1
61,0.016804179176688194,0.12963093448975901,0.1296309381723404,0.9800000190734863,0.1,1
62,0.016799602657556534,0.12961328117734128,0.12961328029632568,0.9800000190734863,0.1,1
63,0.016795016825199127,0.1295955895283444,0.1295955926179886,0.9800000190734863,0.1,1
64,0.016790417954325676,0.12957784515234722,0.1295778453350067,0.9800000190734863,0.1,1
65,0.016785819083452225,0.12956009834610432,0.12956009805202484,0.9800000190734863,0.1,1
66,0.016781210899353027,0.1295423131619666,0.1295423060655594,0.9800000190734863,0.1,1
67,0.016776593402028084,0.1295244895841249,0.12952448427677155,0.9800000190734863,0.1,1
68,0.016771968454122543,0.12950663478803912,0.12950663268566132,0.9800000190734863,0.1,1
69,0.01676732860505581,0.12948871999157227,0.1294887214899063,0.9800000190734863,0.1,1
70,0.016762690618634224,0.12947080990954765,0.1294708102941513,0.9800000190734863,0.1,1
71,0.016758039593696594,0.12945284698953743,0.12945285439491272,0.9800000190734863,0.1,1
72,0.016753381118178368,0.12943485279544442,0.12943485379219055,0.9800000190734863,0.1,1
73,0.016748711466789246,0.12941681292161866,0.1294168084859848,0.9800000190734863,0.1,1
74,0.016744034364819527,0.12939874174357155,0.12939874827861786,0.9800000190734863,0.1,1
75,0.01673934981226921,0.12938063924818585,0.12938064336776733,0.9800000190734863,0.1,1
76,0.016734657809138298,0.1293625054223143,0.12936250865459442,0.9800000190734863,0.1,1
77,0.01672995276749134,0.1293443186517728,0.12934431433677673,0.9800000190734863,0.1,1
78,0.016725242137908936,0.12932610771962844,0.12932610511779785,0.9800000190734863,0.1,1
79,0.016720520332455635,0.12930785100857425,0.1293078511953354,0.9800000190734863,0.1,1
80,0.01671578921377659,0.1292895557026034,0.12928955256938934,0.9800000190734863,0.1,1
81,0.016711048781871796,0.1292712217853293,0.1292712241411209,0.9800000190734863,0.1,1
82,0.016706299036741257,0.1292528492403214,0.1292528510093689,0.9800000190734863,0.1,1
83,0.01670154184103012,0.12923444525756328,0.1292344480752945,0.9800000190734863,0.1,1
84,0.01669677533209324,0.1292160026161359,0.1292160004377365,0.9800000190734863,0.1,1
85,0.016691993921995163,0.12919749967393007,0.12919749319553375,0.9800000190734863,0.1,1
86,0.01668720692396164,0.12917897245280147,0.1291789710521698,0.9800000190734863,0.1,1
87,0.01668240875005722,0.12916039931053644,0.12916040420532227,0.9800000190734863,0.1,1
88,0.016677599400281906,0.1291417802273219,0.12914177775382996,0.9800000190734863,0.1,1
89,0.016672778874635696,0.12912311518328426,0.12912312150001526,0.9800000190734863,0.1,1
90,0.01666795089840889,0.12910441858592173,0.12910442054271698,0.9800000190734863,0.1,1
91,0.016663111746311188,0.12908567599199838,0.12908567488193512,0.9800000190734863,0.1,1
92,0.01665826514363289,0.1290669018131019,0.12906689941883087,0.9800000190734863,0.1,1
93,0.016653401777148247,0.12904805995112148,0.12904806435108185,0.9800000190734863,0.1,1
94,0.016648532822728157,0.12902919368394175,0.12902919948101044,0.9800000190734863,0.1,1
95,0.016643648967146873,0.12901026690595938,0.12901026010513306,0.9800000190734863,0.1,1
96,0.016638759523630142,0.12899131569074773,0.12899132072925568,0.9800000190734863,0.1,1
97,0.016633855178952217,0.1289723039220135,0.12897230684757233,0.9800000190734863,0.1,1
98,0.016628939658403397,0.12895324601731978,0.1289532482624054,0.9800000190734863,0.1,1
99,0.01662401482462883,0.12893414917945062,0.12893414497375488,0.9800000190734863,0.1,1
100,0.016619069501757622,0.12891497004521088,0.1289149671792984,0.9800000190734863,0.1,1
101,0.016614124178886414,0.1288957880571992,0.12889578938484192,0.9800000190734863,0.1,1
102,0.01660916581749916,0.1288765526288594,0.12887655198574066,0.9800000190734863,0.1,1
103,0.016604192554950714,0.128857256508707,0.12885725498199463,0.9800000190734863,0.1,1
104,0.016599206253886223,0.12883790689811064,0.12883791327476501,0.9800000190734863,0.1,1
105,0.016594208776950836,0.12881851100269262,0.12881851196289062,0.9800000190734863,0.1,1
106,0.016589201986789703,0.1287990760323602,0.12879908084869385,0.9800000190734863,0.1,1
107,0.016584182158112526,0.12877958750560015,0.1287795901298523,0.9800000190734863,0.1,1
108,0.016579151153564453,0.12876005263110316,0.12876005470752716,0.9800000190734863,0.1,1
109,0.016574103385210037,0.12874044968544282,0.12874044477939606,0.9800000190734863,0.1,1
110,0.016569046303629875,0.12872080757837823,0.12872080504894257,0.9800000190734863,0.1,1
111,0.01656397432088852,0.12870110458301637,0.1287011057138443,0.9800000190734863,0.1,1
112,0.016558894887566566,0.12868136962111712,0.12868137657642365,0.9800000190734863,0.1,1
113,0.01655379682779312,0.128661559246704,0.12866155803203583,0.9800000190734863,0.1,1
