experiment_id,preset_name,split,test_size,random_state,learning_rate,epoch,accuracy,precision_malignant,recall_malignant,f1_malignant,macro_f1,weighted_f1,train_samples,test_samples,train_features
24,RUN_3,split 60/40,0.4,21,0.01,25,0.508197,0.636364,0.075269,0.134615,0.395552,0.391274,274,183,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
25,RUN_3,split 60/40,0.4,21,0.01,50,0.879781,0.865979,0.903226,0.884211,0.879605,0.879681,274,183,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
26,RUN_3,split 60/40,0.4,21,0.01,75,0.333333,0.316456,0.268817,0.290698,0.330916,0.330257,274,183,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
27,RUN_3,split 60/40,0.4,21,0.01,100,0.879781,0.865979,0.903226,0.884211,0.879605,0.879681,274,183,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
28,RUN_3,split 60/40,0.4,21,0.05,25,0.84153,0.957143,0.72043,0.822086,0.839614,0.839327,274,183,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
29,RUN_3,split 60/40,0.4,21,0.05,50,0.879781,0.865979,0.903226,0.884211,0.879605,0.879681,274,183,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
30,RUN_3,split 60/40,0.4,21,0.05,75,0.868852,0.948052,0.784946,0.858824,0.868187,0.868034,274,183,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
31,RUN_3,split 60/40,0.4,21,0.05,100,0.879781,0.865979,0.903226,0.884211,0.879605,0.879681,274,183,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
32,RUN_3,split 60/40,0.4,21,0.001,25,0.513661,0.666667,0.086022,0.152381,0.405692,0.40154,274,183,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
33,RUN_3,split 60/40,0.4,21,0.001,50,0.513661,0.666667,0.086022,0.152381,0.405692,0.40154,274,183,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
34,RUN_3,split 60/40,0.4,21,0.001,75,0.497268,0.6,0.032258,0.061224,0.35897,0.354089,274,183,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
35,RUN_3,split 60/40,0.4,21,0.001,100,0.879781,0.865979,0.903226,0.884211,0.879605,0.879681,274,183,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
36,RUN_1,split 80/20,0.2,42,0.01,25,0.891304,0.862745,0.93617,0.897959,0.89084,0.890995,365,92,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
37,RUN_1,split 80/20,0.2,42,0.01,50,0.5,1.0,0.021277,0.041667,0.351716,0.344975,365,92,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
38,RUN_1,split 80/20,0.2,42,0.01,75,0.891304,0.862745,0.93617,0.897959,0.89084,0.890995,365,92,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
