Input,Linguistic term,mu (center),sigma
Clump Thickness,Thấp (low),-1.1325,1.216
Clump Thickness,Trung bình (medium),0.617,1.3599
Clump Thickness,Cao (high),2.0662,1.0692
Uniformity of Cell Size,Thấp (low),-0.7035,1.0423
Uniformity of Cell Size,Trung bình (medium),0.9194,1.184
Uniformity of Cell Size,Cao (high),2.3002,1.2768
Uniformity of Cell Shape,Thấp (low),-0.7004,1.1105
Uniformity of Cell Shape,Trung bình (medium),0.8706,1.1053
Uniformity of Cell Shape,Cao (high),2.3867,1.2252
