split,accuracy,precision,recall,f1_score,roc_auc,tn,fp,fn,tp,support
CHECK,0.9277566539923955,0.926829268292683,0.8539325842696629,0.8888888888888888,0.9097249128244865,168,6,13,76,263
TEST,0.96,0.9538461538461539,0.9253731343283582,0.9393939393939394,0.9514083716754573,130,3,5,62,200
